Tijd (s);Temperatuur (C)
0;44.0
10;43.0
15;42.5
27;41.0
33;40.5
40;39.4
45;39.0
49;38.5
55;38.0
61;37.5
69;37.0
75;36.5
82;36.0
87;35.5
95;35.0
102;34.5
111;34.0
120;33.5
127;33.0
136;32.5
150;32.0
159;31.5
166;31.0
182;30.5
195;30.0
