Met Ballon;;Zonder Ballon;
Temp;Strepen;Temp;Strepen
18.6;7;17.8;4.5
24.1;8;20.3;4.5
27.5;9;23.9;4.5
30.2;10;26.8;5
32.3;11;29.6;5
34.2;12;37.5;6
35.5;13;;
37.0;14;;
39.0;15;;
